question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
What happens to the volume of a gas if pressure increases at constant temperature?,Increases,Decreases,Stays the same,Fluctuates,B,Chemistry,Easy
What is the standard temperature in STP?,0 K,25 C,0 C,100 C,C,Chemistry,Easy
Which bond is the most polar?,C-H,O-H,N-H,F-F,B,Chemistry,Easy
What is the chemical formula for ammonia?,NH4+,NH3,NO2,N2O,B,Chemistry,Easy
Which metal is found in hemoglobin?,Magnesium,Zinc,Iron,Copper,C,Chemistry,Easy
What is the simplest aromatic hydrocarbon?,Methane,Ethene,Benzene,Cyclohexane,C,Chemistry,Easy
Which particle is found in the nucleus of every atom except most hydrogen?,Proton,Neutron,Electron,Photon,B,Chemistry,Easy
What is the name of the process when an acid and a base react to form water and a salt?,Esterification,Neutralization,Hydrolysis,Saponification,B,Chemistry,Easy
Which intermolecular force is present in all molecules?,Hydrogen bonding,Dipole-dipole,London dispersion forces,Ion-dipole,C,Chemistry,Easy
What is the formula mass of CO2?,28 g/mol,32 g/mol,44 g/mol,48 g/mol,C,Chemistry,Easy
Which principle states that electrons fill lower-energy atomic orbitals first?,Pauli exclusion principle,Hund's rule,Aufbau principle,Heisenberg uncertainty principle,C,Chemistry,Easy
What is the SI unit of pressure?,Atmosphere,Pascal,Torr,Bar,B,Chemistry,Easy
Which prefix denotes one carbon atom in organic nomenclature?,Eth-,Prop-,Meth-,But-,C,Chemistry,Easy
What is the color of litmus paper in an acidic solution?,Blue,Red,Green,Yellow,B,Chemistry,Easy
Which of these is a covalent compound?,NaCl,KBr,CO2,MgO,C,Chemistry,Easy
What does the term 'aqueous' mean?,Dissolved in alcohol,Dissolved in water,In a gaseous state,In a solid state,B,Chemistry,Easy
Which of the following is not a primary state of matter?,Solid,Liquid,Gas,Energy,D,Chemistry,Easy
What is the empirical formula of hydrogen peroxide?,H2O2,HO,H2O,H2O3,B,Chemistry,Easy
Which element has the highest electronegativity?,Oxygen,Chlorine,Fluorine,Nitrogen,C,Chemistry,Easy
What is the name of the group 2 elements?,Alkali metals,Alkaline earth metals,Transition metals,Halogens,B,Chemistry,Easy
Which type of energy is associated with motion?,Potential,Kinetic,Chemical,Nuclear,B,Chemistry,Easy
What is the formula for the sulfate ion?,SO3 2-,SO4 2-,S 2-,HSO4 -,B,Chemistry,Easy
Which equation represents Boyle's Law?,V1/T1 = V2/T2,P1V1 = P2V2,P1/T1 = P2/T2,V=kn,B,Chemistry,Easy
What is the term for a mixture that has uniform composition throughout?,Heterogeneous,Homogeneous,Suspension,Colloid,B,Chemistry,Easy
Which subatomic particle has no charge?,Proton,Neutron,Electron,Ion,B,Chemistry,Easy
What is the functional group of a carboxylic acid?,-OH,-CHO,-COOH,-CO-,C,Chemistry,Easy
Which of the following is an extensive property?,Density,Temperature,Mass,Boiling point,C,Chemistry,Easy
What is the pH of a 0.01 M HCl solution?,1,2,3,4,B,Chemistry,Easy
Which type of bond involves the transfer of electrons?,Covalent,Ionic,Metallic,Hydrogen,B,Chemistry,Easy
What is the common name for sodium bicarbonate?,Table salt,Baking soda,Bleach,Chalk,B,Chemistry,Easy
Which is a property of noble gases?,Highly reactive,Form cations easily,Inert,Diatomic,C,Chemistry,Easy
What is the molecular geometry of methane (CH4)?,Linear,Bent,Trigonal planar,Tetrahedral,D,Chemistry,Easy
Which reaction represents cellular respiration overall?,Endothermic,Exothermic,Isothermic,Adiabatic,B,Chemistry,Easy
What is the mass of one mole of carbon-12?,1 g,12 g,14 g,6 g,B,Chemistry,Easy
Which of the following elements is a metalloid?,Aluminum,Silicon,Phosphorus,Sulfur,B,Chemistry,Easy
What term is used for an atom with a positive charge?,Anion,Cation,Isotope,Molecule,B,Chemistry,Easy
Which component of air is essential for combustion?,Nitrogen,Carbon dioxide,Argon,Oxygen,D,Chemistry,Easy
What is the chemical formula for sulfuric acid?,H2SO3,H2SO4,H2S,HSO4,B,Chemistry,Easy
Which process is used to separate a liquid mixture based on boiling points?,Filtration,Chromatography,Distillation,Centrifugation,C,Chemistry,Easy
What is the simplest alkyne?,Ethene,Ethyne,Propyne,Methane,B,Chemistry,Easy
"Which rule states that atoms tend to gain, lose, or share electrons to have 8 in their valence shell?",Hund's rule,Octet rule,Duet rule,Bohr's rule,B,Chemistry,Easy
What type of solution contains more solute than it can normally hold at a given temperature?,Unsaturated,Saturated,Supersaturated,Dilute,C,Chemistry,Easy
Which element is essential for organic compounds?,Nitrogen,Oxygen,Carbon,Hydrogen,C,Chemistry,Easy
What is the formula of the hydroxide ion?,H+,H3O+,OH-,O2-,C,Chemistry,Easy
Which physical property is the ratio of mass to volume?,Viscosity,Density,Solubility,Molarity,B,Chemistry,Easy
What is the term for a substance that gets reduced in a redox reaction?,Reducing agent,Oxidizing agent,Catalyst,Spectator ion,B,Chemistry,Easy
Which bond is the shortest and strongest?,Single bond,Double bond,Triple bond,Hydrogen bond,C,Chemistry,Easy
Which block of the periodic table contains the transition metals?,s-block,p-block,d-block,f-block,C,Chemistry,Easy
What is the main component of natural gas?,Ethane,Propane,Butane,Methane,D,Chemistry,Easy
Which of these compounds is a salt?,HCl,NaOH,NaCl,CH4,C,Chemistry,Easy
What indicates the end point of an acid-base titration?,A sudden change in temperature,A permanent color change of the indicator,The formation of a precipitate,The release of a gas,B,Chemistry,Easy
Which element has the symbol K?,Krypton,Potassium,Phosphorus,Sodium,B,Chemistry,Easy
What is the molecular formula for ozone?,O,O2,O3,O4,C,Chemistry,Easy
Which of the following is a homogeneous mixture?,Muddy water,Salad dressing,Saltwater,Smoke,C,Chemistry,Easy
What term describes the amount of energy required to remove an electron from a neutral atom?,Electron affinity,Electronegativity,Ionization energy,Lattice energy,C,Chemistry,Easy
Which functional group is found in ketones?,Carbonyl,Hydroxyl,Carboxyl,Amino,A,Chemistry,Easy
What is the standard pressure in atmospheres?,0 atm,1 atm,10 atm,100 atm,B,Chemistry,Easy
Which electron configuration represents a transition metal?,[Ar] 4s2 3d1,[Ne] 3s2 3p5,[Kr] 5s1,[He] 2s2 2p3,A,Chemistry,Medium
What is the shape of an ammonia (NH3) molecule?,Tetrahedral,Trigonal planar,Trigonal pyramidal,Bent,C,Chemistry,Medium
Which hybridization is found in the carbon atoms of benzene?,sp,sp2,sp3,sp3d,B,Chemistry,Medium
How many moles of CO2 are produced from the complete combustion of 2 moles of propane (C3H8)?,2,3,6,8,C,Chemistry,Medium
"If 4.0 g of NaOH is dissolved in 500 mL of water, what is the molarity of the solution?",0.1 M,0.2 M,0.4 M,0.5 M,B,Chemistry,Medium
"According to Graham's law, which gas diffuses the fastest?",He,N2,O2,CO2,A,Chemistry,Medium
"For the reaction A + B -> C, if doubling [A] doubles the rate and doubling [B] quadruples the rate, what is the overall order?",First order,Second order,Third order,Fourth order,C,Chemistry,Medium
"In the equilibrium N2(g) + 3H2(g) <=> 2NH3(g) (exothermic), how does increasing temperature affect the system?",Shifts left,Shifts right,No effect,Increases Keq,A,Chemistry,Medium
What is the pH of a 0.05 M solution of a strong diprotic acid (H2SO4) assuming complete dissociation?,1.0,1.3,2.0,0.05,A,Chemistry,Medium
Which organic compound exhibits geometric (cis-trans) isomerism?,1-butene,2-butene,Propene,Ethyne,B,Chemistry,Medium
What is the oxidation number of chromium in the dichromate ion (Cr2O7 2-)?,+3,+6,+7,+12,B,Chemistry,Medium
Which intermolecular force is responsible for the anomalously high boiling point of water?,London dispersion forces,Dipole-dipole interactions,Hydrogen bonding,Ion-dipole interactions,C,Chemistry,Medium
A gas occupies 2.0 L at 1.0 atm. What is the pressure if the volume is halved at constant temperature?,0.5 atm,1.0 atm,2.0 atm,4.0 atm,C,Chemistry,Medium
Which subatomic particle was discovered using the cathode ray tube experiment?,Proton,Neutron,Electron,Nucleus,C,Chemistry,Medium
What is the maximum number of electrons in an f-subshell?,2,6,10,14,D,Chemistry,Medium
Which period 3 element has the highest first ionization energy?,Na,Mg,Cl,Ar,D,Chemistry,Medium
What is the VSEPR geometry of a molecule with 4 bonding pairs and 2 lone pairs on the central atom?,Octahedral,Square planar,Tetrahedral,Seesaw,B,Chemistry,Medium
How many sigma and pi bonds are in a triple bond?,"1 sigma, 1 pi","2 sigma, 1 pi","1 sigma, 2 pi",3 pi,C,Chemistry,Medium
"If a compound is 40% C, 6.7% H, and 53.3% O by mass, what is its empirical formula?",CH2O,C2H4O2,CHO2,C3H8O,A,Chemistry,Medium
"At STP, what volume is occupied by 0.5 moles of N2 gas?",11.2 L,22.4 L,44.8 L,5.6 L,A,Chemistry,Medium
Which thermodynamic state function indicates the spontaneity of a process at constant temperature and pressure?,Entropy,Enthalpy,Internal Energy,Gibbs Free Energy,D,Chemistry,Medium
"In a galvanic cell, oxidation always occurs at the:",Anode,Cathode,Salt bridge,Electrolyte,A,Chemistry,Medium
What is the conjugate base of HSO4-?,H2SO4,SO4 2-,H3O+,H2O,B,Chemistry,Medium
What is the pOH of a solution if its pH is 4.5?,4.5,7.0,9.5,14.0,C,Chemistry,Medium
Which of the following is a Lewis acid but not a Brønsted-Lowry acid?,HCl,NH3,BF3,H2O,C,Chemistry,Medium
What type of reaction converts an alkene to an alkane?,Substitution,Elimination,Addition,Condensation,C,Chemistry,Medium
Which functional group is formed when a primary alcohol is mildly oxidized?,Ketone,Carboxylic acid,Aldehyde,Ester,C,Chemistry,Medium
What is the name of the reaction that produces an ester from an alcohol and a carboxylic acid?,Saponification,Hydrogenation,Esterification,Hydrolysis,C,Chemistry,Medium
Which isotope is commonly used for radiocarbon dating?,Carbon-12,Carbon-13,Carbon-14,Oxygen-16,C,Chemistry,Medium
What is the bond angle in a purely tetrahedral molecule like CH4?,90 degrees,104.5 degrees,109.5 degrees,120 degrees,C,Chemistry,Medium
Which rule is violated by the electron configuration 1s2 2s2 2p6 3s2 3d10?,Aufbau principle,Pauli exclusion principle,Hund's rule,Octet rule,A,Chemistry,Medium
Which transition in a hydrogen atom emits a photon with the highest energy?,n=2 to n=1,n=3 to n=2,n=4 to n=3,n=5 to n=4,A,Chemistry,Medium
What is the effective nuclear charge (Zeff) trend across a period from left to right?,Decreases,Increases,Remains constant,Fluctuates,B,Chemistry,Medium
Which ion has the largest radius?,Na+,Mg2+,F-,O2-,D,Chemistry,Medium
"In the phase diagram of water, the solid-liquid equilibrium line has a:",Positive slope,Negative slope,Zero slope,Undefined slope,B,Chemistry,Medium
"According to the kinetic molecular theory, the average kinetic energy of gas molecules is directly proportional to:",Pressure,Volume,Absolute temperature,Molar mass,C,Chemistry,Medium
What is the partial pressure of oxygen in a mixture containing 1 mole of O2 and 3 moles of N2 at a total pressure of 4 atm?,0.25 atm,1.0 atm,3.0 atm,4.0 atm,B,Chemistry,Medium
Which type of calorimeter is used to measure the heat of combustion at constant volume?,Coffee-cup calorimeter,Bomb calorimeter,Ice calorimeter,Flame calorimeter,B,Chemistry,Medium
"For a reaction that is exothermic and increases in entropy, when is it spontaneous?",At all temperatures,At no temperatures,Only at high temperatures,Only at low temperatures,A,Chemistry,Medium
What does a catalyst change in a chemical reaction?,Enthalpy of reaction,Equilibrium constant,Activation energy,Gibbs free energy,C,Chemistry,Medium
The rate constant k for a reaction has units of M^-1 s^-1. What is the overall order of the reaction?,Zero order,First order,Second order,Third order,C,Chemistry,Medium
"In the reaction N2O4(g) <=> 2NO2(g), what is the expression for Kp?",[NO2]2 / [N2O4],P(NO2)2 / P(N2O4),P(N2O4) / P(NO2)2,P(NO2) / P(N2O4),B,Chemistry,Medium
"If the reaction quotient Q is greater than the equilibrium constant K, which way will the reaction shift?",Towards products,Towards reactants,No shift,It will stop,B,Chemistry,Medium
What is the pH of a 0.1 M solution of a weak acid with Ka = 1.0 x 10^-5?,1,3,5,6,B,Chemistry,Medium
Which salt produces a basic solution when dissolved in water?,NaCl,NH4Cl,NaCH3COO,KNO3,C,Chemistry,Medium
What constitutes a buffer solution?,A strong acid and a strong base,A weak acid and its conjugate base,A strong acid and its conjugate base,Two weak acids,B,Chemistry,Medium
Which naming convention indicates an aldehyde?,-ol,-one,-al,-oic acid,C,Chemistry,Medium
What is the IUPAC name for CH3-CH2-CH(CH3)-CH3?,Isopentane,2-methylbutane,3-methylbutane,Pentane,B,Chemistry,Medium
Which molecule is a structural isomer of ethanol (CH3CH2OH)?,Propanol,Dimethyl ether (CH3OCH3),Ethanoic acid,Methanol,B,Chemistry,Medium
"In an SN2 reaction mechanism, the nucleophilic attack and leaving group departure occur:",In two distinct steps,Via a carbocation intermediate,Simultaneously in one step,With retention of stereochemistry,C,Chemistry,Medium
What is the major product of the hydration of propene according to Markovnikov's rule?,1-propanol,2-propanol,Propanal,Propane,B,Chemistry,Medium
Which polymer is formed from the monomer ethene?,Polyvinyl chloride,Polystyrene,Polyethylene,Teflon,C,Chemistry,Medium
What is the hybridization of the oxygen atom in water (H2O)?,sp,sp2,sp3,unhybridized,C,Chemistry,Medium
Which element exhibits an exception to the Aufbau principle in its electron configuration?,Titanium,Iron,Copper,Zinc,C,Chemistry,Medium
How many unpaired electrons are in a ground-state nitrogen atom?,1,2,3,4,C,Chemistry,Medium
Which property generally decreases down a group in the periodic table?,Atomic radius,Metallic character,Ionization energy,Number of electron shells,C,Chemistry,Medium
Which compound has ionic bonding?,CO2,H2O,CaCl2,CH4,C,Chemistry,Medium
A 10.0 L flask contains 0.500 mol of gas at 300 K. What is the approximate pressure? (R = 0.0821 L atm / mol K),1.23 atm,12.3 atm,0.123 atm,15.0 atm,A,Chemistry,Medium
Which phase change is correctly paired with its sign of delta S?,Freezing; positive,Melting; negative,Vaporization; positive,Deposition; positive,C,Chemistry,Medium
Hess's Law is a direct application of which principle?,Conservation of mass,First law of thermodynamics,Second law of thermodynamics,Le Chatelier's principle,B,Chemistry,Medium
A reaction has an activation energy of 50 kJ/mol. What happens to the rate constant if temperature increases?,Decreases,Increases,Stays the same,Becomes zero,B,Chemistry,Medium
Which statement is true for a zero-order reaction?,Half-life is constant,Rate is independent of concentration,Plot of ln[A] vs t is linear,Units of k are s^-1,B,Chemistry,Medium
"In the Haber process, how does an increase in pressure affect the yield of ammonia?",Decreases yield,Increases yield,No effect,Slows the reaction,B,Chemistry,Medium
What is the solubility product constant (Ksp) expression for CaF2?,[Ca2+][F-],[Ca2+][F-]^2,[Ca2+]^2[F-],[CaF2] / [Ca2+][F-]^2,B,Chemistry,Medium
Which is the strongest acid among the following?,HClO,HClO2,HClO3,HClO4,D,Chemistry,Medium
"During the electrolysis of aqueous NaCl, what gas is produced at the cathode?",Oxygen,Chlorine,Hydrogen,Sodium vapor,C,Chemistry,Medium
What type of isomerism is exhibited by dextro and levo lactic acid?,Chain isomerism,Position isomerism,Geometric isomerism,Optical isomerism,D,Chemistry,Medium
Which reagent is used to distinguish between an aldehyde and a ketone?,Benedict's solution,Tollens' reagent,Both A and B,Bromine water,C,Chemistry,Medium
What is the product of the reaction between a carboxylic acid and an amine?,Ester,Amide,Anhydride,Ether,B,Chemistry,Medium
Which compound acts as a monomer for natural rubber?,Ethene,Propene,Isoprene,Chloroprene,C,Chemistry,Medium
How many pi electrons are there in a benzene ring?,2,4,6,8,C,Chemistry,Medium
Which molecule has a dipole moment?,CO2,CCl4,BF3,H2O,D,Chemistry,Medium
What is the term for a coordinate covalent bond?,Dative bond,Metallic bond,Hydrogen bond,Ionic bond,A,Chemistry,Medium
How many molecules are in 0.5 moles of O2?,6.02 x 10^23,3.01 x 10^23,1.20 x 10^24,1.50 x 10^23,B,Chemistry,Medium
What is the molar mass of Ca(NO3)2?,102 g/mol,164 g/mol,134 g/mol,150 g/mol,B,Chemistry,Medium
Which gas law relates volume and temperature at constant pressure?,Boyle's law,Charles's law,Avogadro's law,Dalton's law,B,Chemistry,Medium
What defines an ideal gas?,Molecules have no volume and no intermolecular forces,Molecules have large volume and strong forces,It condenses at low temperatures,It deviates from PV=nRT at all pressures,A,Chemistry,Medium
Which process is described by a negative delta H and a positive delta S?,Always spontaneous,Never spontaneous,Spontaneous at high T,Spontaneous at low T,A,Chemistry,Medium
Which mechanism step is the rate-determining step?,The fastest step,The step with the lowest activation energy,The slowest step,The final step,C,Chemistry,Medium
"If Keq = 1 x 10^-5 for a reaction, what is true at equilibrium?",Reactants are favored,Products are favored,Concentrations are equal,Reaction goes to completion,A,Chemistry,Medium
What is the conjugate acid of NH3?,NH2-,NH4+,HNO3,N2,B,Chemistry,Medium
Which titration curve has an equivalence point pH > 7?,Strong acid / Strong base,Strong acid / Weak base,Weak acid / Strong base,Weak acid / Weak base,C,Chemistry,Medium
In which compound does nitrogen have the highest oxidation state?,NH3,NO2,HNO3,N2O,C,Chemistry,Medium
What is the function of a salt bridge in a galvanic cell?,To conduct electrons,To maintain electrical neutrality,To prevent the reaction from occurring,To increase the voltage infinitely,B,Chemistry,Medium
Which aromatic compound has a hydroxyl group directly attached to the benzene ring?,Benzyl alcohol,Phenol,Toluene,Aniline,B,Chemistry,Medium
What type of reaction is the halogenation of an alkane under UV light?,Electrophilic addition,Nucleophilic substitution,Free radical substitution,Elimination,C,Chemistry,Medium
Which formula represents an ether?,R-OH,R-O-R',R-CHO,R-COOH,B,Chemistry,Medium
What happens to the boiling point of alkanes as the carbon chain length increases?,Decreases,Increases,Remains the same,Fluctuates,B,Chemistry,Medium
"Which set of quantum numbers (n, l, ml, ms) is not permissible?","(2, 1, 0, +1/2)","(3, 2, -2, -1/2)","(1, 1, 0, +1/2)","(4, 0, 0, -1/2)",C,Chemistry,Medium
What is the shielding effect in a multi-electron atom?,Core electrons attracting valence electrons,Valence electrons repelling each other,Core electrons reducing the effective nuclear charge on valence electrons,Protons neutralizing the charge of electrons,C,Chemistry,Medium
Which molecule exhibits sp3d2 hybridization?,PCl5,SF6,XeF2,IF7,B,Chemistry,Medium
What is the shape of the I3- ion?,Linear,Bent,Trigonal planar,Trigonal bipyramidal,A,Chemistry,Medium
A sample of gas diffuses twice as fast as SO2. What is the molar mass of the gas?,16 g/mol,32 g/mol,64 g/mol,128 g/mol,A,Chemistry,Medium
What is the primary factor that causes the rate of a reaction to increase with temperature?,Increase in collision frequency,Increase in the fraction of molecules exceeding activation energy,Decrease in activation energy,Increase in the equilibrium constant,B,Chemistry,Medium
"If adding a catalyst lowers the activation energy of the forward reaction by 20 kJ, how does it affect the reverse reaction?",Lowers it by 10 kJ,Lowers it by 20 kJ,Increases it by 20 kJ,No effect,B,Chemistry,Medium
Which indicator is most suitable for the titration of a weak base with a strong acid?,Phenolphthalein (pH range 8.2-10.0),Methyl orange (pH range 3.1-4.4),Bromothymol blue (pH range 6.0-7.6),Litmus,B,Chemistry,Medium
Which substance is produced at the anode during the electrolysis of molten Al2O3?,Al(l),O2(g),H2(g),Al3+(aq),B,Chemistry,Medium
Which organic reaction follows Zaitsev's rule?,Addition to alkenes,Nucleophilic substitution,Elimination forming an alkene,Electrophilic aromatic substitution,C,Chemistry,Medium
"What is the product of the reaction between a Grignard reagent (RMgX) and a ketone, followed by hydrolysis?",Primary alcohol,Secondary alcohol,Tertiary alcohol,Carboxylic acid,C,Chemistry,Medium
Which amino acid is achiral?,Alanine,Glycine,Valine,Leucine,B,Chemistry,Medium
What is the monomer of DNA?,Amino acid,Monosaccharide,Nucleotide,Fatty acid,C,Chemistry,Medium
Which of the following describes an enantiomer?,Non-superimposable mirror image,Superimposable mirror image,Stereoisomer that is not a mirror image,Constitutional isomer,A,Chemistry,Medium
What type of bond connects the sugar-phosphate backbone in RNA?,Peptide bond,Phosphodiester bond,Glycosidic bond,Hydrogen bond,B,Chemistry,Medium
Which compound has the lowest boiling point?,H2O,H2S,H2Se,H2Te,B,Chemistry,Medium
What is the bond order of the nitrogen molecule (N2)?,1,2,3,4,C,Chemistry,Medium
What causes the paramagnetism of liquid oxygen?,Unpaired electrons in its pi antibonding orbitals,Paired electrons in its sigma bonding orbitals,High electronegativity of oxygen,Low boiling point,A,Chemistry,Medium
Which is a colligative property?,Boiling point,Freezing point depression,Density,Surface tension,B,Chemistry,Medium
"If 50 mL of 0.2 M NaOH neutralizes 25 mL of H2SO4, what is the molarity of the acid?",0.1 M,0.2 M,0.4 M,0.8 M,B,Chemistry,Medium
What is the mass percent of oxygen in water?,11.1%,33.3%,66.7%,88.9%,D,Chemistry,Medium
Which gas violates the ideal gas law the most under high pressure?,He,H2,NH3,Ne,C,Chemistry,Medium
What is the standard state of carbon for thermodynamic calculations?,Diamond,Graphite,Fullerene,Carbon dioxide,B,Chemistry,Medium
"If a reaction is zero order with respect to A, what is the graph of [A] vs time?",Curve decreasing exponentially,Straight line with negative slope,Straight line with positive slope,Horizontal line,B,Chemistry,Medium
Which principle explains why adding a product decreases the yield of the forward reaction?,Le Chatelier's principle,Hund's rule,Heisenberg principle,Avogadro's principle,A,Chemistry,Medium
What is the pH of a 1.0 x 10^-8 M HCl solution?,8.0,6.98,7.02,0.0,B,Chemistry,Medium
Which metal can reduce Zn2+ to Zn(s)? (Given activity series),Cu,Ag,Mg,Fe,C,Chemistry,Medium
"In the Nernst equation, what does 'n' represent?",Number of moles of reactants,Number of electrons transferred,Principal quantum number,Number of products,B,Chemistry,Medium
Which functional group can be reduced to a primary amine using LiAlH4?,Ester,Amide,Ketone,Alcohol,B,Chemistry,Medium
What is the name of the reaction that converts benzene to nitrobenzene?,Nitration,Sulfonation,Alkylation,Acylation,A,Chemistry,Medium
Which carbohydrate is a disaccharide?,Glucose,Fructose,Sucrose,Galactose,C,Chemistry,Medium
What type of linkage joins monosaccharides in a polysaccharide?,Peptide,Phosphodiester,Glycosidic,Ester,C,Chemistry,Medium
Which quantum number distinguishes the two electrons in a 1s orbital?,Principal (n),Azimuthal (l),Magnetic (ml),Spin (ms),D,Chemistry,Hard
What is the effective nuclear charge (Zeff) calculated by Slater's rules for a 3p electron in Chlorine?,+6.10,+7.00,+5.20,+4.80,A,Chemistry,Hard
"Using molecular orbital theory, what is the bond order of the superoxide ion (O2-)?",1.0,1.5,2.0,2.5,B,Chemistry,Hard
Which of the following species is diamagnetic?,O2,NO,N2,B2,C,Chemistry,Hard
A combustion of 1.00 g of a hydrocarbon yields 3.14 g CO2 and 1.29 g H2O. What is the empirical formula?,CH2,CH3,CH4,C2H5,A,Chemistry,Hard
"If an unknown metal M forms a chloride MCl3 and the mass percent of Cl is 65.5%, what is the atomic mass of M?",27.0 g/mol,55.8 g/mol,52.0 g/mol,58.9 g/mol,B,Chemistry,Hard
A gas obeys the van der Waals equation. The parameter 'a' corrects for:,Molecular volume,Intermolecular attractive forces,Kinetic energy,Temperature deviations,B,Chemistry,Hard
What is the critical temperature of a substance?,"The temperature at which solid, liquid, and gas coexist",The temperature above which a gas cannot be liquefied by pressure alone,The temperature of absolute zero,The boiling point at 1 atm,B,Chemistry,Hard
What is the thermodynamic criterion for a system reaching equilibrium at constant T and P?,delta G = 0,delta S_univ = 0,delta H = 0,delta A = 0,A,Chemistry,Hard
"For the first-order reaction A -> B, the half-life is 10 min. How long will it take for 93.75% of A to decompose?",20 min,30 min,40 min,50 min,C,Chemistry,Hard
"In the steady-state approximation for a reaction mechanism, the assumption is that:",The concentration of the product is constant,The concentration of the reactive intermediate remains constant and very small,The rate of the slow step is zero,Equilibrium is reached instantly,B,Chemistry,Hard
What is the pH of a solution made by mixing 50 mL of 0.2 M CH3COOH and 50 mL of 0.1 M NaOH? (pKa = 4.76),4.76,5.06,4.46,7.00,A,Chemistry,Hard
The solubility of AgCl in water is 1.3 x 10^-5 M. What is its solubility in 0.1 M NaCl?,1.3 x 10^-5 M,1.7 x 10^-10 M,1.7 x 10^-9 M,1.3 x 10^-6 M,C,Chemistry,Hard
"For the reaction 2NO(g) + O2(g) <=> 2NO2(g), delta H = -114 kJ. If the volume is decreased, what happens to the equilibrium?",Shifts left,Shifts right,No change,Keq increases,B,Chemistry,Hard
Calculate the pH of a 0.1 M solution of NaCN. (Ka of HCN = 6.2 x 10^-10),8.9,11.1,12.5,5.1,B,Chemistry,Hard
How many Faraday of electricity are required to reduce 1 mole of MnO4- to Mn2+?,1 F,2 F,5 F,7 F,C,Chemistry,Hard
Which molecule is a meso compound?,"(2R,3R)-tartaric acid","(2S,3S)-tartaric acid","(2R,3S)-tartaric acid",Lactic acid,C,Chemistry,Hard
What is the major product of the Friedel-Crafts alkylation of benzene with 1-chloropropane and AlCl3?,Propylbenzene,Isopropylbenzene (Cumene),"1,2-dipropylbenzene",Chlorobenzene,B,Chemistry,Hard
"In the Cannizzaro reaction of benzaldehyde, what are the products?",Two molecules of benzyl alcohol,Two molecules of benzoic acid,Benzyl alcohol and benzoate ion,Benzene and formaldehyde,C,Chemistry,Hard
Which of the following dienes can undergo a Diels-Alder reaction?,"s-trans-1,3-butadiene","s-cis-1,3-butadiene","1,4-pentadiene","1,2-propadiene",B,Chemistry,Hard
"What is the wavelength of an electron moving at 1.0 x 10^6 m/s? (h = 6.626 x 10^-34 J s, me = 9.11 x 10^-31 kg)",7.3 x 10^-10 m,7.3 x 10^-11 m,3.3 x 10^-10 m,1.5 x 10^-11 m,A,Chemistry,Hard
Which lanthanide has the highest number of unpaired f electrons in its +3 oxidation state?,Cerium,Europium,Gadolinium,Lutetium,C,Chemistry,Hard
What is the hybridization of the central iodine in IF5?,sp3,sp3d,sp3d2,sp3d3,C,Chemistry,Hard
Which defect in a crystal lattice involves equal numbers of missing cations and anions?,Frenkel defect,Schottky defect,Interstitial defect,F-center,B,Chemistry,Hard
"A solution contains 10 g of a non-volatile solute in 100 g of water, causing a boiling point elevation of 0.512 C. (Kb of water = 0.512 C/m). What is the solute's molar mass?",50 g/mol,100 g/mol,150 g/mol,200 g/mol,B,Chemistry,Hard
"For a second-order reaction 2A -> P, if the initial concentration is halved, how does the half-life change?",It halves,It remains constant,It doubles,It quadruples,C,Chemistry,Hard
The Michaelis-Menten constant (Km) in enzyme kinetics represents:,The maximum reaction velocity,The substrate concentration at Vmax/2,The enzyme concentration,The turnover number,B,Chemistry,Hard
"In a saturated solution of Ag2CrO4, [Ag+] is 1.3 x 10^-4 M. What is the Ksp?",1.1 x 10^-12,2.2 x 10^-12,4.4 x 10^-12,8.8 x 10^-12,A,Chemistry,Hard
What is the isoelectric point (pI) of an amino acid with pKa1 = 2.0 and pKa2 = 9.0?,3.5,5.5,7.0,11.0,B,Chemistry,Hard
Which metal cannot be extracted from its ore by carbon reduction?,Iron,Zinc,Lead,Aluminum,D,Chemistry,Hard
"In the Latimer diagram for chlorine, which species tends to disproportionate?",Cl-,ClO-,ClO4-,Cl2,B,Chemistry,Hard
Which compound acts as a dienophile in a typical Diels-Alder reaction?,"1,3-butadiene",Maleic anhydride,Benzene,Cyclohexene,B,Chemistry,Hard
What is the name of the rearrangement where an amide is converted to a primary amine with one fewer carbon atom?,Hofmann rearrangement,Beckmann rearrangement,Claisen rearrangement,Cope rearrangement,A,Chemistry,Hard
Which of the following is an anti-aromatic compound?,Benzene,Cyclopentadienyl anion,Cyclobutadiene,Pyridine,C,Chemistry,Hard
What is the term for a mixture of equal amounts of two enantiomers?,Meso compound,Diastereomeric mixture,Racemic mixture,Achiral mixture,C,Chemistry,Hard
The term 'spin-orbit coupling' is most significant for elements in which part of the periodic table?,Period 2,Period 3,Period 4,Period 6,D,Chemistry,Hard
What is the coordination number of Co in [Co(en)3]3+? (en = ethylenediamine),3,4,6,8,C,Chemistry,Hard
Which molecule possesses a center of inversion?,CH4,H2O,"Trans-1,2-dichloroethene","Cis-1,2-dichloroethene",C,Chemistry,Hard
"If 0.1 mol of a weak acid HA is dissolved to make 1.0 L of solution and the osmotic pressure is 2.5 atm at 298 K, what is the degree of dissociation? (R=0.082)",0.02,0.05,1.02,No dissociation,A,Chemistry,Hard
Which phase transition has a negative Clapeyron slope (dP/dT < 0)?,Water melting,Iron melting,Carbon dioxide subliming,Iodine melting,A,Chemistry,Hard
